Tabelle: 12521-03i
Ausländische Bevölkerung nach Geschlecht und;;;;;;;
Staatsangehörigkeiten (215);;;;;;;
- kreisfreie Städte und Kreise - Stichtag;;;;;;;
Ausländerstatistik (AZR);;;;;;;
;;;;;Ausländische Bevölkerung;Ausländische Bevölkerung;Ausländische Bevölkerung
;;;;;Insgesamt;männlich;weiblich
;;;;;Anzahl;Anzahl;Anzahl
31.12.2024;051;  Düsseldorf, Regierungsbezirk;133;  Serbien (ab 01.08.2006);265;135;130
31.12.2024;051;  Düsseldorf, Regierungsbezirk;134;  Griechenland;37730;19940;17790
31.12.2024;051;  Düsseldorf, Regierungsbezirk;135;  Irland;1190;700;495
31.12.2024;051;  Düsseldorf, Regierungsbezirk;136;  Island;75;45;35
31.12.2024;051;  Düsseldorf, Regierungsbezirk;137;  Italien;50555;28845;21710
31.12.2024;051;  Düsseldorf, Regierungsbezirk;138;  Jugoslawien (ehem.);785;465;325
31.12.2024;051;  Düsseldorf, Regierungsbezirk;139;  Lettland;3195;1620;1570
31.12.2024;051;  Düsseldorf, Regierungsbezirk;140;  Montenegro (ab 01.08.2006);1335;690;640
31.12.2024;051;  Düsseldorf, Regierungsbezirk;141;  Liechtenstein;10;5;5
31.12.2024;051;  Düsseldorf, Regierungsbezirk;142;  Litauen;3140;1455;1685
31.12.2024;051;  Düsseldorf, Regierungsbezirk;143;  Luxemburg;485;250;235
31.12.2024;051;  Düsseldorf, Regierungsbezirk;144;  Nordmazedonien;19605;10065;9540
31.12.2024;051;  Düsseldorf, Regierungsbezirk;145;  Malta;70;35;30
31.12.2024;051;  Düsseldorf, Regierungsbezirk;146;  Moldau;1735;695;1040
31.12.2024;051;  Düsseldorf, Regierungsbezirk;147;  Monaco;-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;148;  Niederlande;31210;17465;13750
31.12.2024;051;  Düsseldorf, Regierungsbezirk;149;  Norwegen;470;245;230
31.12.2024;051;  Düsseldorf, Regierungsbezirk;150;  Kosovo (ab 01.05.2008);20080;10650;9425
31.12.2024;051;  Düsseldorf, Regierungsbezirk;151;  Österreich;8085;4095;3985
31.12.2024;051;  Düsseldorf, Regierungsbezirk;152;  Polen;81505;42215;39290
31.12.2024;051;  Düsseldorf, Regierungsbezirk;153;  Portugal;10035;5320;4715
31.12.2024;051;  Düsseldorf, Regierungsbezirk;154;  Rumänien;48865;27085;21780
31.12.2024;051;  Düsseldorf, Regierungsbezirk;155;  Slowakei;2480;1285;1200
31.12.2024;051;  Düsseldorf, Regierungsbezirk;156;  San Marino;-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;157;  Schweden;2490;1285;1205
31.12.2024;051;  Düsseldorf, Regierungsbezirk;158;  Schweiz;1715;790;925
31.12.2024;051;  Düsseldorf, Regierungsbezirk;159;  ehem. Sowjetunion o.n.A.;140;55;85
31.12.2024;051;  Düsseldorf, Regierungsbezirk;160;  Russische Föderation;19045;7370;11675
31.12.2024;051;  Düsseldorf, Regierungsbezirk;161;  Spanien;21330;11180;10150
31.12.2024;051;  Düsseldorf, Regierungsbezirk;162;  Tschechoslowakei (ehem.);100;35;60
31.12.2024;051;  Düsseldorf, Regierungsbezirk;163;  Türkei;157000;80465;76535
31.12.2024;051;  Düsseldorf, Regierungsbezirk;164;  Tschechische Republik;1910;895;1015
31.12.2024;051;  Düsseldorf, Regierungsbezirk;165;  Ungarn;7150;3990;3160
31.12.2024;051;  Düsseldorf, Regierungsbezirk;166;  Ukraine;82450;32955;49495
31.12.2024;051;  Düsseldorf, Regierungsbezirk;167;  Vatikanstadt;-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;168;  Vereinigtes Königreich;6040;3755;2285
31.12.2024;051;  Düsseldorf, Regierungsbezirk;169;  Belarus;1720;615;1105
31.12.2024;051;  Düsseldorf, Regierungsbezirk;170;  Serbien ohne Kosovo (ab 01.05.2008);27480;13720;13760
31.12.2024;051;  Düsseldorf, Regierungsbezirk;181;  Zypern;410;195;215
31.12.2024;051;  Düsseldorf, Regierungsbezirk;185;  Britische Überseegebiete;25;15;10
31.12.2024;051;  Düsseldorf, Regierungsbezirk;195;  Gibraltar, Insel Man, Kanalinseln (brit. abhängige Gebiete);5;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;199;  Übriges Europa;-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;295;  Sankt Helena, einschl. Ascension (brit. abhängiges Gebiet);-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;395;  brit. abhängige Gebiete;-;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;495;  Hongkong (brit. abhängiges Gebiet);50;25;25
31.12.2024;051;  Düsseldorf, Regierungsbezirk;2;Afrika;73595;39835;33760
31.12.2024;051;  Düsseldorf, Regierungsbezirk;221;  Algerien;1975;1325;650
31.12.2024;051;  Düsseldorf, Regierungsbezirk;223;  Angola;965;460;510
31.12.2024;051;  Düsseldorf, Regierungsbezirk;224;  Eritrea;4740;2850;1890
31.12.2024;051;  Düsseldorf, Regierungsbezirk;225;  Äthiopien;550;250;300
31.12.2024;051;  Düsseldorf, Regierungsbezirk;226;  Lesotho;5;-;-
31.12.2024;051;  Düsseldorf, Regierungsbezirk;227;  Botsuana;15;5;10
31.12.2024;051;  Düsseldorf, Regierungsbezirk;229;  Benin;165;95;70
31.12.2024;051;  Düsseldorf, Regierungsbezirk;230;  Dschibuti;10;5;5
