Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Herne, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;6094;109;1385;1884;1812;904;771;4079;627;617
31.12.2024;    Herne, krfr. Stadt;C;Verarbeitendes Gewerbe;4721;93;973;1458;1361;836;584;3163;412;562
31.12.2024;    Herne, krfr. Stadt;F;Baugewerbe;5026;169;1163;.;.;.;.;2988;294;.
31.12.2024;    Herne, krfr. Stadt;G-T;Dienstleistungsbereich;40962;1068;6349;11203;16510;5832;8405;22421;5592;4544
31.12.2024;    Herne, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;12071;550;2684;3381;3315;2141;3062;6696;594;1719
31.12.2024;    Herne, krfr. Stadt;J;Information und Kommunikation;1135;3;31;168;870;63;128;559;394;54
31.12.2024;    Herne, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;558;-;22;109;391;36;29;461;36;32
31.12.2024;    Herne, krfr. Stadt;L;Grundstücks- und Wohnungswesen;534;9;39;91;314;81;65;294;115;60
31.12.2024;    Herne, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;5110;239;969;1217;1718;967;1116;2574;608;812
31.12.2024;    Herne, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;20015;230;2354;5903;9369;2159;3743;11174;3585;1513
31.12.2024;    Herne, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;1539;37;250;334;533;385;262;663;260;354
31.12.2024;    Herne, krfr. Stadt;;Insgesamt;52092;1346;8901;14577;19302;7966;10046;29492;6513;6041
31.12.2024;    Ennepe-Ruhr-Kreis;A;Land- und Forstwirtschaft, Fischerei;270;5;45;99;68;53;51;154;19;46
31.12.2024;    Ennepe-Ruhr-Kreis;B-F;Produzierendes Gewerbe;36312;770;8422;10903;11629;4588;5609;23917;4272;2514
31.12.2024;    Ennepe-Ruhr-Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;30929;593;7075;9088;10476;3697;4522;20524;4015;1868
31.12.2024;    Ennepe-Ruhr-Kreis;C;Verarbeitendes Gewerbe;29194;572;6740;8546;9771;3565;4335;19357;3755;1747
31.12.2024;    Ennepe-Ruhr-Kreis;F;Baugewerbe;5383;177;1347;1815;1153;891;1087;3393;257;646
31.12.2024;    Ennepe-Ruhr-Kreis;G-T;Dienstleistungsbereich;72755;2617;11242;19693;29926;9277;12541;42701;11239;6274
31.12.2024;    Ennepe-Ruhr-Kreis;G-I;Handel, Gastgewerbe, Verkehr;23646;808;5222;6800;6645;4171;4647;14330;1557;3112
31.12.2024;    Ennepe-Ruhr-Kreis;J;Information und Kommunikation;1353;4;39;183;1013;114;156;656;475;66
31.12.2024;    Ennepe-Ruhr-Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1725;4;71;346;1140;164;151;1353;161;60
31.12.2024;    Ennepe-Ruhr-Kreis;L;Grundstücks- und Wohnungswesen;811;14;107;193;394;103;82;537;100;92
31.12.2024;    Ennepe-Ruhr-Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;9296;319;1499;2174;4059;1245;1810;4808;1558;1120
31.12.2024;    Ennepe-Ruhr-Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;31958;1419;3731;9034;14925;2849;5106;18874;6537;1441
31.12.2024;    Ennepe-Ruhr-Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3966;49;573;963;1750;631;589;2143;851;383
31.12.2024;    Ennepe-Ruhr-Kreis;;Insgesamt;109339;3393;19709;30695;41624;13918;18202;66772;15530;8835
31.12.2024;    Hochsauerlandkreis;A;Land- und Forstwirtschaft, Fischerei;869;18;149;223;173;306;105;431;66;267
31.12.2024;    Hochsauerlandkreis;B-F;Produzierendes Gewerbe;43051;806;10721;13612;10956;6956;6573;29363;3588;3527
31.12.2024;    Hochsauerlandkreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;36430;633;8522;11298;9885;6092;5530;24656;3311;2933
31.12.2024;    Hochsauerlandkreis;C;Verarbeitendes Gewerbe;34177;608;8099;10471;9237;5762;5292;23179;3079;2627
31.12.2024;    Hochsauerlandkreis;F;Baugewerbe;6621;173;2199;2314;1071;864;1043;4707;277;594
31.12.2024;    Hochsauerlandkreis;G-T;Dienstleistungsbereich;68404;2219;10033;20965;25873;9314;10356;43878;8714;5456
31.12.2024;    Hochsauerlandkreis;G-I;Handel, Gastgewerbe, Verkehr;21112;418;4700;7338;5091;3565;3328;13919;1141;2724
31.12.2024;    Hochsauerlandkreis;J;Information und Kommunikation;925;.;.;208;648;49;97;505;280;43
31.12.2024;    Hochsauerlandkreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2180;.;.;458;1475;104;222;1738;182;38
31.12.2024;    Hochsauerlandkreis;L;Grundstücks- und Wohnungswesen;763;.;.;226;258;140;95;485;77;106
31.12.2024;    Hochsauerlandkreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;9948;242;1341;2390;4578;1397;1591;5468;1777;1112
31.12.2024;    Hochsauerlandkreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;30836;1453;3188;9421;13030;3744;4588;20115;4936;1197
31.12.2024;    Hochsauerlandkreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2640;79;529;924;793;315;435;1648;321;236
31.12.2024;    Hochsauerlandkreis;;Insgesamt;112324;3043;20903;34800;37002;16576;17034;73672;12368;9250
31.12.2024;    Märkischer Kreis;A;Land- und Forstwirtschaft, Fischerei;519;10;127;132;139;111;97;273;50;99
31.12.2024;    Märkischer Kreis;B-F;Produzierendes Gewerbe;75115;1934;20189;23463;21674;7855;13896;49289;7701;4229
31.12.2024;    Märkischer Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;68450;1705;18341;21304;20437;6663;12608;45051;7400;3391
31.12.2024;    Märkischer Kreis;C;Verarbeitendes Gewerbe;65540;1649;17597;20248;19505;6541;12257;42839;7140;3304
31.12.2024;    Märkischer Kreis;F;Baugewerbe;6665;229;1848;2159;1237;1192;1288;4238;301;838
31.12.2024;    Märkischer Kreis;G-T;Dienstleistungsbereich;83965;2793;13645;25290;31226;11011;14942;50600;10726;7697
31.12.2024;    Märkischer Kreis;G-I;Handel, Gastgewerbe, Verkehr;26323;789;5887;8529;6764;4354;5390;16269;1361;3303
31.12.2024;    Märkischer Kreis;J;Information und Kommunikation;887;.;.;157;625;73;103;490;240;54
31.12.2024;    Märkischer Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2271;.;.;543;1479;160;146;1803;257;65
31.12.2024;    Märkischer Kreis;L;Grundstücks- und Wohnungswesen;941;15;171;235;388;132;85;596;141;119
31.12.2024;    Märkischer Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;12435;630;2587;2977;4520;1721;3035;6126;1724;1550
31.12.2024;    Märkischer Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;36902;1244;4210;11641;15931;3876;5518;22779;6486;2119
31.12.2024;    Märkischer Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4206;106;678;1208;1519;695;665;2537;517;487
31.12.2024;    Märkischer Kreis;;Insgesamt;159599;4737;33961;48885;53039;18977;28935;100162;18477;12025
31.12.2024;    Olpe, Kreis;A;Land- und Forstwirtschaft, Fischerei;249;8;34;76;57;74;46;120;24;59
31.12.2024;    Olpe, Kreis;B-F;Produzierendes Gewerbe;32099;826;9341;10634;8262;3036;4903;22158;3099;1939
31.12.2024;    Olpe, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;28693;730;8225;9433;7689;2616;4381;19686;2970;1656
31.12.2024;    Olpe, Kreis;C;Verarbeitendes Gewerbe;27949;715;8052;9135;7558;2489;4309;19130;2953;1557
31.12.2024;    Olpe, Kreis;F;Baugewerbe;3406;96;1116;1201;573;420;522;2472;129;283
31.12.2024;    Olpe, Kreis;G-T;Dienstleistungsbereich;29209;1014;5361;9679;9419;3736;4875;18545;3607;2182
31.12.2024;    Olpe, Kreis;G-I;Handel, Gastgewerbe, Verkehr;9067;270;2349;3258;1843;1347;1608;5784;637;1038
31.12.2024;    Olpe, Kreis;J;Information und Kommunikation;563;.;.;88;402;53;92;225;207;39
31.12.2024;    Olpe, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;836;.;.;212;559;42;50;678;95;13
31.12.2024;    Olpe, Kreis;L;Grundstücks- und Wohnungswesen;191;.;.;56;83;16;16;130;32;13
31.12.2024;    Olpe, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;4658;269;990;1373;1516;510;1089;2460;596;513
31.12.2024;    Olpe, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;13118;459;1748;4409;4820;1682;1910;8737;1968;503
31.12.2024;    Olpe, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;776;12;199;283;196;86;110;531;72;63
31.12.2024;    Olpe, Kreis;;Insgesamt;61557;1848;14736;20389;17738;6846;9824;40823;6730;4180
31.12.2024;    Siegen-Wittgenstein, Kreis;A;Land- und Forstwirtschaft, Fischerei;267;3;53;92;80;39;41;176;23;27
31.12.2024;    Siegen-Wittgenstein, Kreis;B-F;Produzierendes Gewerbe;46588;671;11370;17905;13317;3325;6300;33032;5322;1934
31.12.2024;    Siegen-Wittgenstein, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;40244;519;9520;15690;12029;2486;5301;28641;4928;1374
31.12.2024;    Siegen-Wittgenstein, Kreis;C;Verarbeitendes Gewerbe;39052;507;9336;15170;11646;2393;5187;27723;4808;1334
31.12.2024;    Siegen-Wittgenstein, Kreis;F;Baugewerbe;6344;152;1850;2215;1288;839;999;4391;394;560
31.12.2024;    Siegen-Wittgenstein, Kreis;G-T;Dienstleistungsbereich;73869;1159;11381;23921;29815;7593;10593;45973;12131;5172
31.12.2024;    Siegen-Wittgenstein, Kreis;G-I;Handel, Gastgewerbe, Verkehr;24909;500;5351;9222;6277;3559;4219;16432;1494;2764
31.12.2024;    Siegen-Wittgenstein, Kreis;J;Information und Kommunikation;2578;8;110;572;1782;106;333;1260;909;76
31.12.2024;    Siegen-Wittgenstein, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2151;10;100;641;1301;99;150;1711;235;55
31.12.2024;    Siegen-Wittgenstein, Kreis;L;Grundstücks- und Wohnungswesen;464;4;55;152;197;56;44;314;72;34
31.12.2024;    Siegen-Wittgenstein, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;10666;350;1676;2941;4598;1101;2041;5577;2068;980
31.12.2024;    Siegen-Wittgenstein, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;30532;235;3699;9648;14687;2263;3425;19208;6919;980
31.12.2024;    Siegen-Wittgenstein, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2569;52;390;745;973;409;381;1471;434;283
31.12.2024;    Siegen-Wittgenstein, Kreis;;Insgesamt;120724;1833;22804;41918;43212;10957;16934;79181;17476;7133
31.12.2024;    Soest, Kreis;A;Land- und Forstwirtschaft, Fischerei;1216;29;266;440;310;171;234;673;130;179
31.12.2024;    Soest, Kreis;B-F;Produzierendes Gewerbe;42523;696;9619;11666;14221;6321;5924;26474;7039;3086
31.12.2024;    Soest, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;35993;536;7841;9431;13088;5097;4826;22204;6811;2152
31.12.2024;    Soest, Kreis;C;Verarbeitendes Gewerbe;34338;503;7492;8861;12522;4960;4623;21048;6621;2046
31.12.2024;    Soest, Kreis;F;Baugewerbe;6530;160;1778;2235;1133;1224;1098;4270;228;934
31.12.2024;    Soest, Kreis;G-T;Dienstleistungsbereich;72016;1640;10905;21842;28786;8843;10626;46121;9337;5932
31.12.2024;    Soest, Kreis;G-I;Handel, Gastgewerbe, Verkehr;23084;556;4704;7753;6451;3620;3921;15093;1495;2575
31.12.2024;    Soest, Kreis;J;Information und Kommunikation;1324;4;50;222;948;100;167;688;393;76
31.12.2024;    Soest, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2034;6;78;408;1430;112;180;1596;193;65
31.12.2024;    Soest, Kreis;L;Grundstücks- und Wohnungswesen;710;7;102;194;320;87;77;463;99;71
31.12.2024;    Soest, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;9673;330;2003;2641;3550;1149;2041;5388;1254;990
31.12.2024;    Soest, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;31908;653;3266;9642;15092;3255;3691;20979;5611;1627
31.12.2024;    Soest, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3283;84;702;982;995;520;549;1914;292;528
31.12.2024;    Soest, Kreis;;Insgesamt;115755;2365;20790;33948;43317;15335;16784;73268;16506;9197
31.12.2024;    Unna, Kreis;A;Land- und Forstwirtschaft, Fischerei;325;16;78;86;83;62;72;164;23;66
31.12.2024;    Unna, Kreis;B-F;Produzierendes Gewerbe;38987;875;8685;11931;11077;6419;5790;25793;3775;3629
31.12.2024;    Unna, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;31424;548;6834;9784;9745;4513;4356;21497;3410;2161
31.12.2024;    Unna, Kreis;C;Verarbeitendes Gewerbe;26476;495;5775;8310;7844;4052;3832;18083;2643;1918
31.12.2024;    Unna, Kreis;F;Baugewerbe;7563;327;1851;2147;1332;1906;1434;4296;365;1468
31.12.2024;    Unna, Kreis;G-T;Dienstleistungsbereich;98546;3463;15901;28120;37057;14005;17468;58217;13040;9821
31.12.2024;    Unna, Kreis;G-I;Handel, Gastgewerbe, Verkehr;38165;1701;8340;11446;9786;6892;7831;22252;2325;5757
31.12.2024;    Unna, Kreis;J;Information und Kommunikation;2816;15;118;467;1985;231;324;1333;984;175
31.12.2024;    Unna, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2006;8;41;459;1255;243;130;1607;185;84
31.12.2024;    Unna, Kreis;L;Grundstücks- und Wohnungswesen;804;5;122;227;335;115;93;531;104;76
31.12.2024;    Unna, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;15466;599;2541;3370;6643;2313;3107;7979;2523;1857
31.12.2024;    Unna, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;35137;1052;4099;10960;15464;3562;5100;22357;6322;1358
31.12.2024;    Unna, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4152;83;640;1191;1589;649;883;2158;597;514
31.12.2024;    Unna, Kreis;;Insgesamt;137858;4354;24664;40137;48217;20486;23330;84174;16838;13516
__________
"Quelle: Statistik der Bundesagentur für Arbeit,
Datenabruf Juli 2024"
© IT.NRW, Düsseldorf, 2026. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 15.01.2026 / 15:38:09
