Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Solingen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;4601;318;858;1073;1659;693;1279;2114;584;624
31.12.2024;    Solingen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;15129;736;1654;4494;7065;1180;2809;8885;2914;521
31.12.2024;    Solingen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;1620;32;242;403;746;197;303;805;354;158
31.12.2024;    Solingen, krfr. Stadt;;Insgesamt;52376;2030;9366;14168;19927;6885;10941;29376;7556;4503
31.12.2024;    Wuppertal, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;66;7;9;16;21;13;24;25;5;12
31.12.2024;    Wuppertal, krfr. Stadt;B-F;Produzierendes Gewerbe;30595;741;6906;8336;10788;3824;5528;18314;4481;2272
31.12.2024;    Wuppertal, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;25828;503;5762;7031;9931;2601;4529;15761;4269;1269
31.12.2024;    Wuppertal, krfr. Stadt;C;Verarbeitendes Gewerbe;22773;386;5302;6441;8795;1849;4003;13789;3781;1200
31.12.2024;    Wuppertal, krfr. Stadt;F;Baugewerbe;4767;238;1144;1305;857;1223;999;2553;212;1003
31.12.2024;    Wuppertal, krfr. Stadt;G-T;Dienstleistungsbereich;102275;2945;13261;25001;46569;14499;18495;54291;19524;9965
31.12.2024;    Wuppertal, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;28252;1333;5740;7674;7792;5713;6793;15005;1926;4528
31.12.2024;    Wuppertal, krfr. Stadt;J;Information und Kommunikation;2834;8;57;448;2061;260;334;1301;954;245
31.12.2024;    Wuppertal, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;5967;9;111;1534;4121;192;561;4182;1127;97
31.12.2024;    Wuppertal, krfr. Stadt;L;Grundstücks- und Wohnungswesen;1133;20;157;249;460;247;162;641;134;196
