Tabelle: 22161-08i
Empfänger/-innen von Eingliederungshilfe nach Alter (6),;;;;;;;;;;
Leistungsart (5) und Träger (2) - Region - Stichtag;;;;;;;;;;
(Trägerprinzip);;;;;;;;;;
Statistik der Empfänger/-innen von Eingliederungshilfe nach dem SGB IX;;;;;;;;;;
;;;;Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip)
;;;;Insgesamt;unter 7 Jahre;7 bis unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2023;Westfalen-Lippe;Insgesamt;Leistungen zur Teilhabe an Bildung;7085;350;6010;700;20;-;-
31.12.2023;Westfalen-Lippe;Insgesamt;Leistungen zur Sozialen Teilhabe;84325;20785;335;3540;29335;22505;7820
31.12.2023;Westfalen-Lippe;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;1310;50;510;265;265;130;95
31.12.2023;Westfalen-Lippe;Insgesamt;Insgesamt;112035;24335;6775;6300;39665;26930;8025
31.12.2023;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;85;10;55;0;0;0;15
31.12.2023;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;45;-;0;5;25;10;-
31.12.2023;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;12650;690;11285;620;45;5;-
31.12.2023;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;2860;100;550;125;585;690;805
31.12.2023;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;40;5;25;5;0;-;0
31.12.2023;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;15365;790;11690;725;640;700;820
31.12.2023;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;14700;14460;90;40;105;5;-
31.12.2023;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;69040;-;0;5670;40740;21900;730
31.12.2023;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;1560;0;910;590;55;-;-
31.12.2023;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;160955;36850;565;6625;57515;44380;15015
31.12.2023;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;2065;70;965;415;310;170;130
31.12.2023;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Insgesamt;204160;44320;2485;11660;77675;52660;15360
31.12.2023;Nordrhein-Westfalen;Insgesamt;Leistungen zur medizinischen Rehabilitation;14790;14470;150;45;105;5;15
31.12.2023;Nordrhein-Westfalen;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;69085;-;5;5680;40765;21910;730
31.12.2023;Nordrhein-Westfalen;Insgesamt;Leistungen zur Teilhabe an Bildung;14210;695;12200;1210;105;5;-
31.12.2023;Nordrhein-Westfalen;Insgesamt;Leistungen zur Sozialen Teilhabe;163810;36955;1115;6750;58105;45075;15820
31.12.2023;Nordrhein-Westfalen;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;2110;80;995;420;315;170;130
31.12.2023;Nordrhein-Westfalen;Insgesamt;Insgesamt;219525;45110;14170;12385;78315;53360;16185
31.12.2022;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;365;95;255;-;5;-;15
31.12.2022;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;10;-;5;0;5;-;-
31.12.2022;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;6410;325;5750;305;25;5;-
