Tabelle: 12411-02-03-4
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;
Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
Bevölkerungsstand (Anzahl);;;;;;
;;;;Insgesamt;männlich;weiblich
31.12.2023;05915;      Hamm, kreisfreie Stadt;10 bis unter 15 Jahre;8671;4432;4239
31.12.2023;05915;      Hamm, kreisfreie Stadt;15 bis unter 18 Jahre;5469;2846;2623
31.12.2023;05915;      Hamm, kreisfreie Stadt;18 bis unter 20 Jahre;3790;1956;1834
31.12.2023;05915;      Hamm, kreisfreie Stadt;Insgesamt;179380;88496;90884
31.12.2023;05916;      Herne, kreisfreie Stadt;6 bis unter 10 Jahre;6043;3161;2882
31.12.2023;05916;      Herne, kreisfreie Stadt;10 bis unter 15 Jahre;7324;3770;3554
31.12.2023;05916;      Herne, kreisfreie Stadt;15 bis unter 18 Jahre;4492;2376;2116
31.12.2023;05916;      Herne, kreisfreie Stadt;18 bis unter 20 Jahre;3046;1624;1422
31.12.2023;05916;      Herne, kreisfreie Stadt;Insgesamt;156154;76584;79570
31.12.2023;05954;      Ennepe-Ruhr-Kreis;6 bis unter 10 Jahre;11676;5989;5687
31.12.2023;05954;      Ennepe-Ruhr-Kreis;10 bis unter 15 Jahre;13378;6849;6529
31.12.2023;05954;      Ennepe-Ruhr-Kreis;15 bis unter 18 Jahre;8234;4162;4072
31.12.2023;05954;      Ennepe-Ruhr-Kreis;18 bis unter 20 Jahre;5553;2933;2620
31.12.2023;05954;      Ennepe-Ruhr-Kreis;Insgesamt;315069;152548;162521
31.12.2023;05958;      Hochsauerlandkreis;6 bis unter 10 Jahre;9614;4915;4699
31.12.2023;05958;      Hochsauerlandkreis;10 bis unter 15 Jahre;11650;6001;5649
31.12.2023;05958;      Hochsauerlandkreis;15 bis unter 18 Jahre;7546;3946;3600
31.12.2023;05958;      Hochsauerlandkreis;18 bis unter 20 Jahre;5177;2731;2446
31.12.2023;05958;      Hochsauerlandkreis;Insgesamt;261193;130348;130845
